Notice Date,"NAICS
                                  Code",Company,Location,"WIA
                                  Code","Total
                                  Employees","Effective
                                  Date","Type
                                  Code"
5/15/2020,722511,"Hooters of America, LLC","301 Light Street                            Suite 173                            Baltimore, MD 21202",3,18,3/16/2020,2
5/15/2020,722511,"Hooters of America, LLC","1600 Fedex Way                        Landover, MD 20785",8,18,3/16/2020,2
5/15/2020,722511,"Hooters of America, LLC","14707-A Baltimore Avenue            Laurel, MD 20707",8,18,3/16/2020,2
5/15/2020,722511,"Hooters of America, LLC","3600 Crain Highway                       Waldorf, MD 20603",9,17,3/16/2020,2
5/19/2020,448120,Charlotte Russe,"8200 Perry Hall Boulevard              Unit 2070                         Baltimore, MD 21236",2,13,3/27/2020,2
5/19/2020,448120,Charlotte Russe,"11160 Veirs Mill Road                     Unit 156                                 Wheaton, MD 20902",7,13,3/27/2020,2
5/19/2020,221112,"GenOn Energy Services, LLC","21200 Martinsburg Road                    Dickerson, MD 20842",7,63,8/1/2020,1
5/20/2020,621210,North American Dental Group,"1415 River Avenue                          Suite B                              Cumberland, MD 21502",12,3,3/23/2020,2
5/20/2020,621210,North American Dental Group,"13975 Connecticut Avenue            Suite 309                                  Silver Spring, MD 20906",7,4,3/23/2020,2
5/20/2020,621210,North American Dental Group,"16069 Comprint Circle                Gaithersburg, MD 20877",7,1,3/23/2020,2
5/20/2020,621210,North American Dental Group,"85 Thomas Court                 Suite A                                  Frederick, MD 21702",4,6,3/23/2020,2
5/21/2020,721110,Sheraton Silver Spring,"8777 Georgia Avenue                  Silver Spring, MD 20910",7,56,5/7/2020,2
5/27/2020,442299,"Bed, Bath & Beyond","1519 Rockville Pike                        Rockville, MD 20852",7,95,4/4/2020,2
5/27/2020,722310,Parkhurst Dining Services,"Loyola University                         4501 N. Charles Street                     Baltimore, MD 21210",3,230,4/17/2020,2
5/27/2020,722310,Parkhurst Dining Services,"Maryland Institute College of Art  140 W. Lafayette Ave.    Baltimore, MD 21217",3,50,4/17/2020,2
