Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
HUSCO International,Waukesha,97,7/1/2016,WR,09/16/2016,Managing Offices,Waukesha,WOW
Sports Authority,Greenfield,46,6/27/2016,CL,08/19/2016,Sporting Goods Stores,Milwaukee,Milwaukee
Sports Authority - Revision 1,Greenfield,46,7/15/2016,LS,07/18/2016,Sporting Goods Stores,Milwaukee,Milwaukee
CompuCom,Waukesha,16,6/27/2016,CL,08/31/2016,Computer & Software Merch Whls,Waukesha,WOW
Southern Wisconsin Foods dba Burger King,Milton,20,6/20/2016,CL,07/31/2016,Limited-service restaurants,Rock,Southwest
Global Industrial Services Inc.,Milwaukee,27,6/20/2016,CL,08/15/2016,Ind Machinery Merch Whls,Milwaukee,Milwaukee
Air Wisconsin Airlines,Milwaukee,53,6/6/2016,CL,08/18/2016,Scheduled Passenger Air Trans,Milwaukee,Milwaukee
Ameridrives International,Green Bay,37,6/6/2016,CL,08/02/2016,Mechanical Power Transmission Equip Manufacturing,Brown,Bay Area
"Foster Needle Co., Inc.",Manitowoc,64,6/1/2016,CL,07/31/2016,Fastener Button Needle & Pin Mfg,Manitowoc,Bay Area
"Experience Works, Inc.",West Bend,5,5/31/2016,CL,07/01/2016,Vocational Rehabilitation Services,Washington,WOW
Anchor Bank FSB - Main Street,Madison,46,5/19/2016,WR,09/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - East Towne Blvd.,Madison,46,5/19/2016,WR,09/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - City View Dr.,Madison,46,5/19/2016,WR,09/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - Holiday Drive,Janesville,1,5/19/2016,WR,09/30/2016,Savings Institutions,Rock,Southwest
Anchor Bank FSB - Division Street,Stevens Point,1,5/19/2016,WR,09/30/2016,Savings Institutions,Portage,North Central
"Graphic Packaging International, Inc.",Menasha,230,5/18/2016,CL,07/16/2016,Coated & Laminated Packaging Paper Mfg,Winnebago,Fox Valley
Sodexo,Waukesha,78,5/18/2016,CL,06/15/2016,Food Service Contractors,Waukesha,WOW
Sears Holding Company,Wausau,33,5/16/2016,CL,08/07/2016,Department Stores exc Discount,Marathon,North Central
Sears Holding Company,Wausau,3,5/16/2016,CL,08/07/2016,Automotive Parts & Accessories Stores,Marathon,North Central
Monsanto Company,Middleton,30,5/12/2016,CL,07/12/2016,Other Chemicals Merch Whls,Dane,South Central
"Tyson Foods, Inc.",Jefferson,248,5/9/2016,CL,07/09/2016,Meat Processed from Carcasses,Jefferson,South Central
