Date,Company,Jobs Affected,City,Location
7/31/2019,The Pipeline Clothing eXchange,Closure,1,Beatrice,Beatrice
7/28/2019,Goodyear Fitness Center,Closure,20,Lincoln,Lincoln
7/28/2019,Therman's Bike and Sport,Closure,0,Nebraska City,Nebraska City
7/27/2019,Merle's Food & Drink,Closure,13,Lincoln,Lincoln
7/27/2019,B & B Grill and Arcade,Closure,11,Bellevue,Bellevue
7/24/2019,Spreetail,Layoff,22,Lincoln,Lincoln
7/22/2019,Gerda's German Restaurant & Bakery,Closure,,Omaha,Omaha
7/19/2019,Charter Spectrum,Layoff,2,Beatrice,Beatrice
6/30/2019,Good Samaritan Nursing Home,Closure,40,Wood River,Wood River
6/28/2019,Cosmo Professional Beauty Supply,Closure,31,Lincoln,Lincoln
6/28/2019,Highnooner's Deli,Closure,4,Lincoln,Lincoln
6/28/2019,Video Kingdom Electronics,Closure,5,Hastings,Hastings
6/23/2019,Amato's,Closure,5,Omaha,Omaha
6/23/2019,Shopko Hometown xxxx,Closure,53,Omaha,Shopko Hometown Omaha
6/23/2019,Shopko Corporate Office,Closure,53,Omaha,Omaha - 14445 West Center Road
6/21/2019,Union Pacific,Layoff,78,North Platte,North Platte
6/21/2019,Werner Service & Trucking,Closure,24,St. Edward,St. Edward
6/18/2019,Grand Island Park Place Care & Rehabilitation Center,Closure,64,Grand Island,Grand Island
6/16/2019,Shopko xxxx,Closure,54,Grand Island,Grand Island
6/16/2019,Shopko Hometown xxxx,Closure,21,Holdrege,Holdrege
6/16/2019,Shopko xxxx,Closure,45,North Platte,North Platte
6/16/2019,Shopko Hometown xxxx,Closure,25,Wayne,SHopko Hometown Wayne
6/16/2019,Shopko xxxx,Closure,19,O.Neil,Shopko O'Neil
6/16/2019,Shopko Hometown xxxx,Closure,15,Broken Bow,Broken Bow
6/16/2019,Shopko Hometown xxxx,Closure,18,Valentine,Valentine
6/16/2019,Shopko Corporate Office,Closure,54,Grand Island,Grand Island
6/16/2019,Shopko Corporate Office,Closure,21,Holdrege,Holdrege
